BEER,STYLE,BREWERY,PRICE,KEG LT,PINT/ML
STONE ,IPA,STONE,170,30,473
BORDER,BIS,BRODER PSYCHO,90,20,355
BREWNOS,WTIBIER,BREWNOS,76,20,355
CITROIT,APA,MOTOR,79,30,355
FRAMBUESA,FRUIT ALE,BREWNOS,78,20,355
SCULPIN,IPA,BALLAS POINT,120,30,473
HAZY DREAMS,HAZY IPA,ABNORMAL,170,30,588
MALTA FINA,AMBER ALE,MALTA FINA,75,20,355
PLAZA MAFIA,NEIPA,MADUEÑO,100,30,588
PRINCIPIA,AMERICAN WHEAT,PRINCIPIA,86,20,473
ROGUE,NEIPA,ROGUE,160,30,473
BRUER,CREAM ALE,BRUER,85,20,355
CYPREZ,IS,CYPREZ,92,20,355
VAQUITA MARNA,PALE ALE,WENDLANT,90,20,473
SUSSY ,OPA,WENDLANT,90,20,355
CAN-O-BLIS,DIPA,OSKAR BLUES,142,30,588
FANCY PAPERS,HAZY IPA,CIGAR CITY,140,20,588
MATRIOSHKA,GOSE,CERVECEROS ARELLANO,80,30,473
INFRARED,UNFILTERED IPA,PRINCIPIA,97,30,473
CUASAR,IPL,PRINCIPIA,90,20,473
CARDERA,LAGER,CARDERA,83,20,355
